Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,F2Pool,GBMiners,HaoBTC,SlushPool,Unknown,ViaBTC,others
2016-12-19 00:00:00 UTC,6.83040412919615e+16,4.715182205316052e+17,1.542349319495905e+16,1.1677787704754709e+17,2.1813226090013514e+17,2.3135239792438573e+17,6.6100685121253064e+16,1.8067520599809174e+17,3.569436996547666e+17,1.0355774002329646e+17,1.1457452087683866e+17,1.3881143875463144e+17,3.3050342560626532e+16,1.0355774002329646e+17,1.1898123321825552e+17
2016-12-26 00:00:00 UTC,6.03639382078457e+16,4.896186099080818e+17,1.3414208490632378e+16,1.3190638349121837e+17,1.9450602311416947e+17,2.280415443407504e+17,7.377814669847808e+16,2.2580584292564502e+17,3.465337193413364e+17,1.095493693401644e+17,1.207278764156914e+17,1.6320620330269392e+17,2.6828416981264756e+16,9.837086226463744e+16,1.1625647358548059e+17
2017-01-02 00:00:00 UTC,4.9611935987170056e+16,4.78078655876366e+17,4.735684798775323e+16,1.2177475196850832e+17,1.826621279527625e+17,2.1423335994459795e+17,7.441790398075509e+16,2.2099862394284842e+17,4.239565438903623e+17,6.990772798192143e+16,1.082442239720074e+17,1.6236633595801107e+17,4.059158398950277e+16,1.443256319626765e+17,1.0147895997375694e+17
2017-01-09 00:00:00 UTC,6.367423016599516e+16,4.7873587865544506e+17,8.725727837562299e+16,1.297067651529531e+17,1.9809760496087386e+17,2.146057387076133e+17,1.0612371694332528e+17,2.4054709173820394e+17,3.749704665330826e+17,1.014071073013997e+17,1.5564811818354374e+17,1.3913998443680424e+17,4.244948677733011e+16,1.768728615722088e+17,1.0848202176428806e+17
2017-01-16 00:00:00 UTC,9.116519614681853e+16,5.4939026099003795e+17,7.67706914920577e+16,1.1995420545634016e+17,1.8233039229363706e+17,2.3990841091268032e+17,1.0555970080157936e+17,2.758946725495824e+17,4.078442985515566e+17,1.535413829841154e+17,1.46344130656735e+17,1.4154596243848139e+17,5.517893450991648e+16,1.8472947640276384e+17,1.3674779422022779e+17
2017-01-23 00:00:00 UTC,7.797929472935856e+16,4.5116591950557446e+17,1.6709848870576832e+17,1.4203371539990309e+17,2.367228589998385e+17,2.3950783381160128e+17,1.3646376577637749e+17,2.2836793456455005e+17,4.818006424349654e+17,1.086140176587494e+17,1.5595858945871712e+17,1.6152853908224272e+17,6.126944585878173e+16,2.1165808569397325e+17,1.476036650234287e+17
2017-01-30 00:00:00 UTC,9.59536345512219e+16,4.882346699223938e+17,2.0319593199082285e+17,1.1853096032798e+17,2.0319593199082285e+17,2.342397549338652e+17,4.233248583142142e+16,3.273712237629924e+17,4.346135212025933e+17,1.0724229743960094e+17,1.467526175489276e+17,1.636856118814962e+17,5.926548016399e+16,2.8221657220947616e+17,1.693299433256857e+17
2017-02-06 00:00:00 UTC,9.298875740491773e+16,5.219368964017962e+17,1.4998186678212538e+17,1.0798694408313026e+17,1.9197678948112048e+17,2.1897352550190304e+17,1.1698585609005778e+17,3.539572056058159e+17,3.8695321629788346e+17,8.09902080623477e+16,1.4998186678212538e+17,1.589807787890529e+17,7.499093339106269e+16,2.489698988583281e+17,1.94976426816763e+17
2017-02-13 00:00:00 UTC,5.748792516845507e+16,5.567251700524069e+17,1.7548945577738915e+17,1.5128401360119754e+17,1.9969489795358074e+17,1.9364353740953286e+17,9.984744897679037e+16,3.2072210883453875e+17,4.1149251699525734e+17,1.6943809523334125e+17,1.906178571375089e+17,1.9969489795358074e+17,6.353928571250296e+16,2.269260204017963e+17,1.84566496593461e+17
2017-02-20 00:00:00 UTC,5.955591656449785e+16,5.736175121738477e+17,1.755332277690463e+17,1.4418800852457373e+17,2.5389627588022768e+17,2.382236662579914e+17,1.1597731120454845e+17,4.1062237210259046e+17,4.607747228937465e+17,1.1597731120454845e+17,1.8807131546683533e+17,1.9434035931572982e+17,9.09011358089704e+16,1.4105348660012648e+17,2.2882010048464963e+17
2017-02-27 00:00:00 UTC,8.588537422969842e+16,5.343978840959012e+17,1.908563871771076e+17,1.7813262803196707e+17,2.5765612268909523e+17,2.3857048397138448e+17,9.54281935885538e+16,3.467224367050788e+17,3.9443653349935565e+17,7.952349465712816e+16,1.6858980867311168e+17,2.0039920653596294e+17,7.31616150845579e+16,2.6083706247538032e+17,1.6540886888682656e+17
2017-03-06 00:00:00 UTC,1.1078487507441885e+17,4.952735591562255e+17,2.1505299279151898e+17,1.4011028318235326e+17,2.215697501488377e+17,2.2808650750615648e+17,1.2707676846771576e+17,3.649384120098504e+17,4.203308495470598e+17,1.3685190450369389e+17,1.5966055525430954e+17,1.955027207195627e+17,1.3033514714637512e+17,2.704454303287284e+17,1.8898596336224394e+17
2017-03-13 00:00:00 UTC,1.2258272248620832e+17,6.39417984860492e+17,2.153480259892849e+17,1.4246100180829614e+17,2.4185239841873533e+17,2.6504372429450445e+17,9.607835005675786e+16,3.9093949333439405e+17,4.4726128474697626e+17,1.3914795525461485e+17,1.2920881559357093e+17,2.1866107254296618e+17,8.613921039571395e+16,2.1203497943560355e+17,2.0540888632824093e+17
2017-03-20 00:00:00 UTC,1.3849288880440371e+17,5.843724332478499e+17,2.0267252020156643e+17,1.553822654878676e+17,2.7698577760880742e+17,1.655158914979459e+17,1.148477614475543e+17,4.087229157398256e+17,3.8169991304628346e+17,1.4524863947778925e+17,1.7227164217133146e+17,2.296955228951086e+17,1.3511501346771094e+17,2.2631764755841584e+17,2.4320702424187974e+17
2017-03-27 00:00:00 UTC,2.5263119981732106e+17,4.914195941651998e+17,2.4917049844996048e+17,1.176638464902591e+17,2.284062902457971e+17,1.903385752048309e+17,9.689963828609573e+16,3.63373643572859e+17,4.49891177756873e+17,1.2112454785761968e+17,1.3842805469442248e+17,2.7339540802148438e+17,1.4881015879650416e+17,2.076420820416337e+17,1.7995647110274922e+17
2017-04-03 00:00:00 UTC,2.4110663648905107e+17,6.16949334545513e+17,2.8720055228842848e+17,1.808299773667883e+17,3.7584269805646195e+17,1.9501272068967363e+17,1.0282488909091883e+17,4.219366138558393e+17,4.07753870532954e+17,7.445940244514811e+16,1.9501272068967363e+17,1.8437566319750963e+17,2.09195464012559e+17,1.3473606156741086e+17,1.5955586238246022e+17
2017-04-10 00:00:00 UTC,2.0335013982140016e+17,6.027879144705791e+17,3.1228771472572166e+17,1.3798759487880726e+17,3.1228771472572166e+17,1.6340636235648227e+17,1.234625848915644e+17,4.103315321396111e+17,3.776502596683146e+17,7.262504993621434e+16,2.6145017977037165e+17,2.324001597958859e+17,1.9608763482777872e+17,1.3798759487880726e+17,1.5251260486605014e+17
2017-04-17 00:00:00 UTC,1.5896874083887283e+17,6.728444379691827e+17,3.438161139073296e+17,1.478778984547654e+17,3.3642221898459136e+17,1.8854432052982592e+17,1.330901086092889e+17,2.994527443709e+17,4.066642207506049e+17,8.1332844150121e+16,2.809680070640543e+17,2.4030158498899382e+17,1.8115042560708765e+17,1.441809509933963e+17,1.9224126799119507e+17
2017-04-24 00:00:00 UTC,1.296052273948528e+17,6.221050914952934e+17,3.4437960422060883e+17,1.925563378437813e+17,3.5178561721460045e+17,1.999623508377729e+17,1.2590222089785702e+17,3.851126756875626e+17,3.740036561965752e+17,5.554509745493691e+16,1.1109019490987382e+17,2.0366535733476867e+17,3.480826107176047e+17,1.925563378437813e+17,1.851503248497897e+17
2017-05-01 00:00:00 UTC,1.2600922575711562e+17,5.781599770032364e+17,3.6320306247639206e+17,2.1866306822558294e+17,3.928522920663016e+17,2.2607537562306035e+17,1.8530768493693472e+17,3.409661402839599e+17,4.521507512461207e+17,4.076769068612564e+16,,1.964261460331508e+17,3.8914613836756294e+17,2.2978152932179904e+17,2.3348768302053773e+17
2017-05-08 00:00:00 UTC,1.480760311803964e+17,7.832442701910442e+17,4.2084766756533715e+17,2.2211404677059462e+17,2.6887489872229875e+17,2.2990752209587862e+17,1.519727688430384e+17,3.74086815613633e+17,3.896737662642011e+17,3.117390130113609e+16,,2.2211404677059462e+17,5.377497974445975e+17,2.6887489872229875e+17,2.143205714453106e+17
2017-05-15 00:00:00 UTC,1.6682391368907757e+17,7.34819619820937e+17,3.733678068279355e+17,3.1775983559824294e+17,3.614518129930014e+17,1.7873990752401168e+17,1.4299192601920934e+17,4.28975778057628e+17,3.813118027178916e+17,3.5747981504802336e+16,,2.3831987669868224e+17,4.3691977394758406e+17,2.3037588080872614e+17,2.4229187464366026e+17
2017-05-22 00:00:00 UTC,1.7149554067931843e+17,7.487244336975123e+17,4.977553497765584e+17,3.0116290070514464e+17,4.4337871492701843e+17,2.091409032674615e+17,1.4221581422187384e+17,2.8024881037839846e+17,4.6847562331911386e+17,5.019381678419077e+16,,2.3005499359420768e+17,7.027134349786707e+17,2.3005499359420768e+17,1.9659244907141382e+17
2017-05-29 00:00:00 UTC,1.2797666012138718e+17,8.446459568011555e+17,6.697445213019261e+17,3.583346483398841e+17,3.924617577055873e+17,1.7916732416994205e+17,1.5783788081637754e+17,3.7113231435202285e+17,4.564500877662809e+17,8.531777341425811e+16,,2.3462387688920982e+17,6.441491892776488e+17,2.3888976555992272e+17,2.004967675235066e+17
