Time,50BTC.com,AntPool,BTC Guild,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,KnCMiner,SlushPool,Unknown,ViaBTC,ghash.io,others
2016-10-01 00:00:00 UTC,,3.2447078777684474e+17,,2.1388336572556054e+17,1.8147679516108166e+17,1.4744989606837888e+17,405082132055985.94,2025410660279929.8,2.9692520279703763e+17,,1.0896709352306021e+17,1.0532135433455634e+16,1.668938384070662e+17,1620328528223943.8,3.8604327184935456e+17
2016-11-01 00:00:00 UTC,,3.468221126772338e+17,,2.1258258936942122e+17,1.940971468155585e+17,1.5316509544629104e+17,440129584615778.9,,3.12492005077203e+17,,1.2543693161549698e+17,2.5087386323099396e+16,1.4656315167705437e+17,,4.69618266785036e+17
2016-12-01 00:00:00 UTC,,4.333822003536475e+17,,1.976915475531067e+17,2.2943763548134282e+17,1.798944982600046e+17,962002664492003.4,,3.4583995788487526e+17,,1.3756638102235648e+17,2.5493070609038092e+16,1.3035136103866646e+17,,5.762395960307101e+17
2017-01-01 00:00:00 UTC,,4.962990259183317e+17,,1.917392653323902e+17,2.3119865037180963e+17,2.4564856602004774e+17,1111531972941392.5,2.778829932353481e+15,4.196033197853757e+17,,1.472779864147345e+17,5.0018938782362664e+16,1.800681796165056e+17,,7.641782313972073e+17
2017-02-01 00:00:00 UTC,,5.3699453930658816e+17,,2.179654801398932e+17,2.2022809758079174e+17,3.612645847301344e+17,1508411627265696.8,,4.276346963298251e+17,,1.855346301536807e+17,7.31579639223863e+16,2.2098230339442458e+17,,9.6387502982278e+17
2017-03-01 00:00:00 UTC,,5.4667858439289965e+17,,2.4563092559023437e+17,2.149270598914551e+17,3.736885117973383e+17,2246624319422875.5,1.497749546281917e+15,4.126300000006681e+17,,2.2466243194228752e+17,1.1382896551742571e+17,2.418865517245296e+17,,1.0911105444663763e+18
2017-04-01 00:00:00 UTC,,6.229762324644814e+17,,3.4034532591043194e+17,1.9096682875273613e+17,3.81084916044349e+17,848741461123271.8,,4.014547111113075e+17,,2.1473158966418774e+17,2.2661397011991354e+17,1.5362220446331216e+17,,1.234070084473237e+18
2017-05-01 00:00:00 UTC,,7.201161110236727e+17,,3.649903576421355e+17,2.0715668947256336e+17,3.658871398476444e+17,3587128822035729.5,2.690346616526797e+15,4.1700372556165357e+17,,2.241955513772331e+17,5.299982834557791e+17,2.3675050225435814e+17,,1.2788114250557376e+18
2017-06-01 00:00:00 UTC,,8.441842762423123e+17,,3.780771825416774e+17,2.2797489812960845e+17,2.6521832208147517e+17,2.257177209204044e+15,,4.8529309997886944e+17,,2.4490372719863875e+17,7.166537639222839e+17,2.370036069664246e+17,,1.6443535969051459e+18
2017-07-01 00:00:00 UTC,,1.2785909929909174e+18,,4.554054791637535e+17,2.961986856349616e+17,2.0487075756418176e+17,,,4.7268373582579283e+17,,2.5670552755030003e+17,7.750532274114828e+17,2.999011692053986e+17,,1.990701999704971e+18
2017-08-01 00:00:00 UTC,,1.1552051590704156e+18,,4.597831478887226e+17,2.298915739443613e+17,3.247218481964103e+17,1436822337152258.2,,5.0001417332898586e+17,,3.4340053857938976e+17,8.448515342455279e+17,3.520214726023033e+17,,2.119312947299581e+18
2017-09-01 00:00:00 UTC,,1.2532302560016576e+18,,5.865836530698761e+17,2.05876156787756e+17,3.4476086573187706e+17,1633937752283777.8,,6.91155669216038e+17,,4.4443106862118746e+17,1.6649825695771694e+18,7.989955608667672e+17,,1.941118049713128e+18
2017-10-01 00:00:00 UTC,,1.7790636128579538e+18,,6.493774310431839e+17,1.9020226530554794e+17,3.6695588558949146e+17,1.921235003086343e+15,,8.395796963487319e+17,,6.28243846009234e+17,1.8213307829258532e+18,9.317989764968764e+17,,2.0480365132900419e+18
2017-11-01 00:00:00 UTC,,1.7531651597887905e+18,,4.463438858254926e+17,1.863600760405407e+17,3.451112519269273e+17,6.902225038538545e+15,2300741679512848.5,8.144625545475484e+17,,9.341011218822166e+17,2.171900145460129e+18,1.368941299310145e+18,,2.0338556446893578e+18
